party,topic,text,label
People's Party,"Climate change, energy",It would abolish all climate change programs,5
People's Party,"Climate change, energy",But it would invest in adaptation strategies for floods and forest fires,5
People's Party,"Climate change, energy",It would find a buyer for the Trans Mountain pipeline,5
People's Party,"Climate change, energy",It would withdraw from the Paris Accord,5
People's Party,"Climate change, energy","It would repeal C-48, which regulates vessels that transport crude oil to or from ports or marine installations along B.C.’s north coast and C-69, the federal government’s Impact Assessment Act",5
People's Party,"Climate change, energy",It would reassert federal jurisdiction over pipeline construction by invoking section 92(10) of the Constitution if necessary,5
People's Party,"Climate change, energy","It would keep Line 5, which runs from Sarnia, Ont",5
People's Party,"Climate change, energy","to Michigan and Wisconsin, in operation. ",5
Liberal,Cost of living,The Liberals say they would trim one percentage point off the lowest income tax bracket,0
Liberal,Cost of living,They would also cancel a proposed hike to the capital gains inclusion rate,0
Liberal,Cost of living,They would ease access to employment insurance by raising regional unemployment rate percentages and eliminate the GST on all homes up to $1 million for first-time homebuyers,0
Liberal,Cost of living,They would suspend rules that prevent people with severance packages from collecting employment insurance for six months.,0
Conservative,Cost of living,The Conservatives say they would drop the tax rate on the lowest income tax bracket from 15 per cent to 12.75 per cent,1
Conservative,Cost of living,They would defer capital gains taxes if the proceeds are reinvested in Canada,1
Conservative,Cost of living,"They would increase the annual TFSA contribution limit by $5,000 a year, provided the money is invested in Canadian companies",1
Conservative,Cost of living,The party would remove the GST on new homes sold for under $1.3 million,1
Conservative,Cost of living,"They promise to allow working seniors with an annual income under $42,000 to earn as much as $34,000 without paying taxes, and let seniors continue to contribute to RRSPs until the age of 73, rather than the current limit of 71",1
Conservative,Cost of living,"The party would also allow travelling trades workers to write off the full cost of food, transportation and accommodation",1
New Democrat,Cost of living,"New Democrats pledge to raise the amount of untaxed income from $16,129 to $19,500",2
New Democrat,Cost of living,"The party would eliminate GST on essentials (e.g., energy, internet and mobile phone bills)",2
New Democrat,Cost of living,They would keep the proposed increase in capital gains tax cut,2
New Democrat,Cost of living, The party would double the amount of the Canada disability benefit and increase the guaranteed income supplement at a combined cost of $3 billion to $4 billion,2
New Democrat,Cost of living,It wants to open up more $10-a-day child-care spots,2
New Democrat,Cost of living,"It would increase the EI replacement rate to two-thirds of insurable earnings, with a minimum weekly benefit of $450; extend EI benefits to 50 weeks nationwide; implement a national 360-hour standard to qualify for benefits; and remove the one-week waiting period",2
New Democrat,Cost of living,"It would expand pharmacare, dental care and mental health supports for Canadians and ban U.S.-style private health-care clinics. ",2
Bloc Québécois,Cost of living,The party would introduce a bill to increase old age security payments for those aged 65 to 74 by 10 per cent and propose tax incentives for seniors who choose to remain in the workforce,3
Bloc Québécois,Cost of living,It wants the child benefit adapted to blended families and based on the income of the parents who have custody,3
Bloc Québécois,Cost of living,The Bloc would call for the GST credit to be doubled in quarters when the inflation rate exceeds the Bank of Canada's target (between one and three per cent) and pay it out monthly,3
Bloc Québécois,Cost of living,The party says it would restrict credit-card interest rates,3
Bloc Québécois,Cost of living,"It would push to cut the GST on all second-hand goods and require a single tax report, which Quebec would administer",3
Green,Cost of living,"The Greens would raise the amount of untaxed income to $40,000",4
Green,Cost of living,They would create a guaranteed livable income,4
Green,Cost of living,"The party plans to expand paid leave to elder care, miscarriage and other family needs",4
Green,Cost of living,"It wants to create universal early learning and child care that every family can afford, although the Green Party has not provided details of how the plan would work",4
Green,Cost of living,It wants to make college and university free. ,4
People's Party,Cost of living,"It would reinstate the fair disability pension for veterans, as previously provided for by the Pension Act",5
People's Party,Cost of living,The pension would apply retroactively to 2006 and lump-sum payments received since then would be treated as advance payments,5
People's Party,Cost of living,"The party would request a line-by-line review of the New Veterans Charter to assess which policies and programs should be kept, in order to help simplify the system",5
People's Party,Cost of living,"It would abolish new spending programs by the Trudeau government, such as day care, pharmacare and dental care programs",5
People's Party,Cost of living,It would eliminate all other programs that duplicate provincial programs or intrude on provincial jurisdictions. ,5
Liberal,Defence,The Liberals would aim to increase NATO defence spending to two per cent of Canada’s GDP by 2030,0
Liberal,Defence,They would review Canada's contract for U.S.-built F-35 fighter jets and partner with allies for the next generation of aircraft,0
Liberal,Defence,They would invest $420 million to protect sovereignty in the Arctic,0
Liberal,Defence,They would modernize procurement legislation to enable the Canadian Armed Forces to buy equipment,0
Liberal,Defence,"It is unclear whether the Liberals will keep the $1.3-billion border security plan announced in December, which promises to increase drones and enhance aquatic and aerial surveillance in the Arctic as well as at the U.S",0
Liberal,Defence,border. ,0
Conservative,Defence,The Conservatives would reinforce the military and commit to the NATO spending target for member nations (two per cent of gross domestic product),1
Conservative,Defence,They say “extra revenue from expanded trade with the U.S.” would go to the Armed Forces,1
Conservative,Defence,"They say they would double the size of the 1st Patrol Group of the Canadian Rangers from 2,000 to 4,000 rangers",1
Conservative,Defence,They would acquire two additional polar icebreakers for the Royal Canadian Navy and deliver the two polar icebreakers currently being built for the Coast Guard by 2029,1
Conservative,Defence,They would build at least one permanent Arctic military base within two years. ,1
New Democrat,Defence,New Democrats would increase defence spending to two per cent of Canada’s GDP by 2032,2
New Democrat,Defence,They would cancel the contracts for U.S.-built F-35 fighter jets and P-8 Poseidon aircraft,2
New Democrat,Defence,They would establish new marine search and rescue stations — including in central Nunavut — and build new small craft harbours,2
New Democrat,Defence,"They would attempt to re-establish a full-time military base in Inuvik, N.W.T., set up a base in Iqaluit as well as a new CAF Reserve Unit in Whitehorse",2
New Democrat,Defence,"They would aim to complete construction of a deep-water port in Nanisivik, Nunavut",2
New Democrat,Defence,"They would also work with Indigenous communities and the territorial government to establish more deep-water ports, including in Qikiqtarjuaq and Grays Bay.",2
Bloc Québécois,Defence,The Bloc wants Canada to hit the NATO goal of two per cent of GDP for military spending before the end of the next legislature,3
Bloc Québécois,Defence,It would invest in Quebec technologies and prioritize partnerships with allies for procurement,3
Bloc Québécois,Defence,It says the federal government should obtain the source code for F-35 fighter jets or end its contract,3
Bloc Québécois,Defence,The party wants to strengthen sovereignty in the Arctic with the help of Quebec-based Davie Shipbuilding,3
Bloc Québécois,Defence,The Bloc wants the federal government to support the creation of a global shipbuilding hub in the St,3
Bloc Québécois,Defence,Lawrence Valley,3
Bloc Québécois,Defence,The party would demand a review of the CBSA's decision to reduce the operation hours of many border crossings in Quebec,3
Bloc Québécois,Defence,It wants tougher penalties for border smugglers.,3
Green,Defence,The Greens have not committed to meeting the NATO defence spending target of two per cent of Canada’s GDP by 2032,4
Green,Defence,They would suspend the contract for U.S.-built F-35 fighter jets and consider acquiring French Rafale or Swedish Gripen fighters instead and secure production and maintenance jobs in Canada,4
Green,Defence,They would increase domestic artillery and ammunition production and boost investments to create ammunition reserves,4
Green,Defence,They would join the Norwegian-German Type 212CD submarine development process,4
Green,Defence,They would strengthen Arctic and coastal security with more patrols and better equipment,4
Green,Defence,They would revise the Canadian Military Doctrine to account for the U.S,4
Green,Defence,threatening Canadian sovereignty,4
Green,Defence,"They would stop selling weapons to countries that ""abuse human rights.""",4
People's Party,Defence,It would prioritize relations with the U.S,5
People's Party,Defence,for our defence. ,5
Liberal,Foreign policy,The Liberals would try to strengthen ties with allies that share Canada's values,0
Liberal,Foreign policy,They would impose sanctions on Russia to push for a ceasefire with Ukraine. ,0
Conservative,Foreign policy,The Conservatives would slash foreign aid and divert the money to Canada's military,1
Conservative,Foreign policy,"They would support Ukraine by selling Canadian oil from proposed pipeline projects like Energy East, which TransCanada cancelled in 2017",1
Conservative,Foreign policy,They want Ukraine to be part of all peace negotiations related to the war,1
Conservative,Foreign policy,The party is against having Russia join the G7.,1
New Democrat,Foreign policy,New Democrats would aim to contribute 0.7 per cent of gross national income to international aid and invest in the foreign service,2
New Democrat,Foreign policy,"They would create a 500-member Quick Reaction Force, which would be ready to deploy in UN peacekeeping missions",2
New Democrat,Foreign policy,They would ratify the Treaty on the Prohibition of Nuclear Weapons.,2
Bloc Québécois,Foreign policy,The Bloc supports Ukrainian sovereignty,3
Bloc Québécois,Foreign policy,"It would allocate up to 0.7 per cent of Canada's gross national income for foreign aid and prioritize supporting education, health, climate change adaptation and shrinking poverty",3
Bloc Québécois,Foreign policy,"It would want Canada to contribute more to support international organizations, such as the World Health Organization, to compensate for the cuts of U.S",3
Bloc Québécois,Foreign policy,President Donald Trump's administration,3
Bloc Québécois,Foreign policy,"It would prioritize relationships with French-speaking nations, especially those in Africa.",3
Green,Foreign policy,"The Greens would support Ukraine by ""demonstrating economic and moral support."" They would stop selling weapons to countries that abuse human rights",4
Green,Foreign policy,They would support the International Criminal Court and the International Court of Justice,4
Green,Foreign policy,The party would recognize a Palestinian state,4
Green,Foreign policy,They would offer the UN an alternative headquarters in Canada,4
Green,Foreign policy,"They want to form a coalition with European and Pacific allies to boost funding for places and programs that the USAID is no longer serving, in light of funding cuts by the Trump administration.",4
People's Party,Foreign policy,"It would not get involved in foreign conflicts such as the war in Ukraine, ""unless we have a compelling strategic interest in doing so."" It would withdraw from all UN commitments (including Sustainable Development Goals, the Global Compact on Migration and the Paris Agreement on Climate Change) and reduce Canada’s presence in UN institutions",5
People's Party,Foreign policy,"It would phase out development aid and focus Canadian international assistance exclusively on emergency humanitarian action ""in cases such as health crises, major conflicts and natural disasters."" It would liberalize trade with as many countries as possible",5
People's Party,Foreign policy,"To ensure “prosperity and security,” the party says it would prioritize relations with the U.S.",5
Liberal,Government spending,The Liberals would shrink public spending,0
Liberal,Government spending,"They would cap the size of the public service and attempt to make government operations more efficient by ""leveraging AI and machine learning."" They would aim to balance the government's operational spending within three years, while running a ""small deficit"" on capital spending.",0
Conservative,Government spending,Conservatives would cut government support for businesses and foreign aid,1
Conservative,Government spending,They plan to defund the CBC but maintain Radio-Canada,1
Conservative,Government spending,They would cut the federal public service and have called for public servants to be given clear assignments and be monitored to ensure they're completing tasks,1
Conservative,Government spending,The Conservatives don’t plan on making “big changes” to the equalization program.,1
New Democrat,Government spending,"To increase government revenue, the party would eliminate bearer shares that hide stock ownership and boost compliance funding to Canada Revenue Agency's enforcement section dealing with international and corporate taxation",2
New Democrat,Government spending,"The party says it would strive toward balancing the budget, but would be willing to borrow “when required” to support Canadian families.",2
Bloc Québécois,Government spending,The Bloc is against the federal government imposing conditions on transfers to provinces,3
Bloc Québécois,Government spending,It would ask the federal government to transfer oversight of the public dental care program to Quebec.,3
People's Party,Government spending,The party has yet to share its campaign promises on this issue. ,5
Liberal,Housing,"In addition to eliminating GST for first-time homebuyers on new and majorly renovated homes under $1 million, they would create a standalone entity that would act as a developer overseeing the construction of affordable housing in Canada",0
Liberal,Housing,"That entity would supply $25 billion in debt financing and $1 billion in equity financing to ""innovative Canadian prefabricated home builders."" The Liberals would invest almost $74 million to improve critical housing infrastructure, speed up housing development and help meet the growing demand for affordable housing in the North",0
Liberal,Housing,"They would invest almost $66 million to build, renovate and repair hundreds more homes across Nunavut, including for Indigenous Peoples and underserved groups. ",0
Conservative,Housing,The Conservatives would cut the GST on new homes up to $1.3 million,1
Conservative,Housing,They would tie federal funding to cities to the number of housing starts,1
Conservative,Housing,Cities or municipalities would be expected to increase the number of homes they build by 15 per cent each year; they would offer bonuses to municipalities that surpass that target,1
Conservative,Housing,They would sell off 15 per cent of federally owned buildings so the land can be used to build affordable homes,1
Conservative,Housing,"They would implement a NIMBY (not in my backyard) fine on municipalities that block construction because of ""egregious"" opposition from local residents.",1
New Democrat,Housing,"The party would redesign and double the Public Land Acquisition Fund, investing $1 billion over five years to build more rent-controlled homes",2
New Democrat,Housing,"They would set aside all suitable federal Crown land in order to build more than 100,000 rent-controlled homes by 2035",2
New Democrat,Housing,They would speed up approvals on lands owned by the federal government to build homes sooner,2
New Democrat,Housing,"They also say they would require the CMHC to offer low-interest, public-backed mortgages",2
New Democrat,Housing,The New Democrats are promising more money for the Rental Protection Fund — a federal program that supports community housing projects,2
New Democrat,Housing,They say they would ban corporate landlords from buying existing affordable rental properties and stop providing them with low-interest federal loans and mortgage loan insurance if they gouge tenants,2
New Democrat,Housing,"They would “rescue at-risk home-building projects impacted by tariffs,” with the aim of stabilizing housing markets and creating jobs in construction. ",2
Bloc Québécois,Housing,The Bloc wants the $1.2 billion from the Canada Housing Infrastructure Fund to be transferred to Quebec without conditions and integrate the funding to an existing program or use it for a new one that would better serve municipalities,3
Bloc Québécois,Housing,"The party is in favour of a GST rebate on new homes for first-time homebuyers and wants to eliminate the GST for services related to the purchase of a first home, such as building inspections. ",3
Green,Housing,The Greens plan to stop corporations from buying single-family homes,4
Green,Housing,"They would use covenants to ensure housing built with public money stays affordable ""forever."" They want to close loopholes to prevent the use of real estate for money laundering",4
Green,Housing,They would eliminate unfair tax advantages for real estate investment trusts (REITs),4
Green,Housing,They would push for the creation of intergenerational co-housing. ,4
People's Party,Housing,It would stop accepting new permanent residents to Canada until the housing crisis has cooled down,5
People's Party,Housing,It would privatize or dismantle the Canada Mortgage and Housing Corporation and change the Bank of Canada's inflation target from two per cent to zero per cent,5
People's Party,Housing,It says it would work with provinces to curb speculation and money laundering by foreign homebuyers.,5
Liberal,Immigration, The party would maintain caps on immigration until it determines Canada has the capacity to receive more newcomers.,0
Conservative,Immigration,They promise to reduce the number of non-permanent residents in Quebec and would grant the province more powers to choose temporary immigrants,1
Conservative,Immigration,"They would tie Canada's population growth rate to a level that's below the number of new homes built, and would also consider factors such as access to health care and jobs",1
Conservative,Immigration,They would cap the number of asylum seekers Canada receives,1
Conservative,Immigration,They promise to crack down on fraud linked to international students and temporary workers. ,1
New Democrat,Immigration,The party has not set an immigration target but has said levels should match Canada's needs and take into account whether there are enough resources to welcome newcomers,2
New Democrat,Immigration,They would end Canada's closed work permits and provide temporary workers with open work permits to help them avoid abusive employers.,2
Bloc Québécois,Immigration,"The Bloc wants Canada to reduce its immigration levels and distribute asylum seekers across provinces in a ""fair"" way",3
Bloc Québécois,Immigration,It would table a bill to improve the processing of asylum claims and grant additional powers to the immigration minister,3
Bloc Québécois,Immigration,It would tighten the eligibility criteria for claims made 14 days after a person irregularly crossed the border,3
Bloc Québécois,Immigration,The party wants to add an emergency component to the Immigration Ministry in order to help refugees during major crises.,3
Green,Immigration,It would co-ordinate immigration levels with the provinces and set targets based on Canada's capacity to welcome newcomers,4
Green,Immigration,It would suspend the Safe Third Party Agreement with the U.S,4
Green,Immigration,"and work with provinces and territories to build the infrastructure needed to screen, process and settle new arrivals",4
Green,Immigration,"It would change refugee provisions in order to extend access to scientists, activists, civil servants, journalists, judges, lawyers, doctors and other categories of U.S",4
Green,Immigration,citizens and permanent residents who have felt targeted by U.S,4
Green,Immigration,President Donald Trump.,4
People's Party,Immigration,"After halting immigration until the housing crisis subsided, it would bring down immigration targets to 100,000 to 150,000 people annually and lower it further during times of crisis",5
People's Party,Immigration,"It would accept fewer refugees, temporary foreign workers and students in favour of economic immigrants",5
People's Party,Immigration,It would withdraw from the UN's Global Compact for Migration,5
People's Party,Immigration,The party would abolish the reunification program for parents and grandparents,5
People's Party,Immigration,"It would eliminate work permits for students, except for academic work on campus",5
People's Party,Immigration,"It would increase resources for CSIS, the RCMP and the IRCC so they can determine whether immigrants share ""Canadian values and societal norms."" It would change the law to criminalize ""birth tourism"" and stop granting Canadian citizenship to babies born in Canada to foreign parents. ",5
Liberal,Infrastructure,The Liberals would create a First Mile Fund to build transportation networks to connect natural resource extraction sites to rail lines and roads,0
Liberal,Infrastructure,"They would put into effect a ""one window"" approvals process to fast-track approvals for large-scale, national-interest infrastructure projects",0
Liberal,Infrastructure,"They would work to speed up approvals for the construction, commissioning and operation of a new Indigenous majority-owned Cedar LNG processing facility",0
Liberal,Infrastructure,"They would invest $175 million in the Hudson Bay Railway and at the Port of Churchill, in Manitoba.",0
Conservative,Infrastructure,"The Conservatives would commit $1 billion over three years to the construction of a road connecting First Nations communities and the critical mineral deposits in the Ring of Fire to the Ontario highway network, while allowing companies investing in the Ring of Fire to pay a share of their federal corporate taxes to local First Nations",1
Conservative,Infrastructure,"They would designate areas as ""shovel-ready"" zones to accelerate the construction of a liquefied natural gas project in Quebec",1
Conservative,Infrastructure,"They would repeal the federal government's Impact Assessment Act (C-69), which allows federal regulators to consider the potential environmental and social impacts of various resource and infrastructure projects",1
Conservative,Infrastructure,They want to create a national energy corridor that would make it easier to fast-track approvals for large-scale infrastructure projects,1
Conservative,Infrastructure,The party would be open to exporting oil from the Port of Churchill.,1
New Democrat,Infrastructure,New Democrats would undertake a major construction program and require only Canadian steel to be used in all federally funded infrastructure projects,2
New Democrat,Infrastructure,They would prioritize creating an east-west electricity grid,2
New Democrat,Infrastructure,They are against building an LNG pipeline in Quebec and believe the province should have the right to veto energy projects on its territory,2
New Democrat,Infrastructure,The party opposes the Energy East project but isn't shutting the door to pipelines,2
New Democrat,Infrastructure,"They would favour Canadian companies in the bid selection process, as well as suppliers and contractors with a unionized workforce. ",2
Bloc Québécois,Infrastructure,The Bloc supports a high-speed rail system that would connect Quebec City to Toronto,3
Bloc Québécois,Infrastructure,"It is against the nuclear waste disposal project in Chalk River as well as an Energy East pipeline, which would impact Quebec ecosystems",3
Bloc Québécois,Infrastructure,"The party wants the federal government to double funding for public transit and invest in the maintenance of public transit infrastructure currently in use, such as the Montreal Metro.",3
Green,Infrastructure,The Greens would undertake clean energy projects and build stronger infrastructure to protect drinking water,4
Green,Infrastructure,They say they would ensure AI centres run on clean technology,4
Green,Infrastructure,They would ramp up investments in shipyards to increase rapid production capacity as part of the National Shipbuilding Strategy.,4
People's Party,Infrastructure,It would find a buyer for the Trans Mountain pipeline,5
People's Party,Infrastructure,"It would reassert federal jurisdiction over pipeline construction by invoking section 92(10) of the Constitution, if necessary",5
People's Party,Infrastructure,"It would keep Line 5, which runs from Sarnia, Ont",5
People's Party,Infrastructure,"to Michigan and Wisconsin, in operation. ",5
Liberal,"U.S. relations, tariffs",The Liberals would inject $5 billion into a new “trade diversification corridor fund.” They want to renegotiate bilateral agreements with the U.S,0
Liberal,"U.S. relations, tariffs",immediately following the election,0
Liberal,"U.S. relations, tariffs","In response to expected job losses in a trade war, they would temporarily remove the one-week employment insurance waiting period",0
Liberal,"U.S. relations, tariffs",They would prioritize and procure Canadian-built vehicles,0
Liberal,"U.S. relations, tariffs","They would implement a $2-billion ""strategic response fund"" with the aim of protecting the Canadian auto industry and helping workers develop expertise.",0
Conservative,"U.S. relations, tariffs",The party would not remove counter-tariffs until the U.S,1
Conservative,"U.S. relations, tariffs",removes all of its tariffs,1
Conservative,"U.S. relations, tariffs","They say a Conservative government would put almost all of the collected tariffs into tax relief, with a sum set aside for targeted relief for workers hit hardest by U.S",1
Conservative,"U.S. relations, tariffs",tariffs,1
Conservative,"U.S. relations, tariffs",The Conservatives would implement tax cuts.  ,1
New Democrat,"U.S. relations, tariffs",New Democrats are in favour of retaliatory tariffs,2
New Democrat,"U.S. relations, tariffs","They would put “every dollar” collected from retaliatory tariffs toward supporting impacted workers in industries such as auto manufacturing, steel and aluminum",2
New Democrat,"U.S. relations, tariffs", If U.S,2
New Democrat,"U.S. relations, tariffs","President Donald Trump applied a tariff to all Canadian goods, New Democrats would impose a 100 per cent tariff on all Tesla products",2
New Democrat,"U.S. relations, tariffs","An NDP government would bar Trump from the G7 summit in Kananaskis, Alta., in June, due to his undermining Canadian sovereignty",2
New Democrat,"U.S. relations, tariffs",The party would ban U.S,2
New Democrat,"U.S. relations, tariffs",companies from all federal government procurement contracts and projects when Canadian workers are available,2
New Democrat,"U.S. relations, tariffs",It says it would stop U.S.-based corporations from “stripping valuable assets from Canadian plants” after receiving government bailouts.,2
Bloc Québécois,"U.S. relations, tariffs",The Bloc is calling for pandemic-style wage subsidies for workers impacted by tariffs,3
Bloc Québécois,"U.S. relations, tariffs",It would table a bill to protect supply management and Quebec farmers in future trade agreements,3
Bloc Québécois,"U.S. relations, tariffs","It would table a bill to guarantee local purchasing and reserve a percentage of Canadian content in public contracts and federal procurement, similar to the Buy American Act",3
Bloc Québécois,"U.S. relations, tariffs","It would maintain the digital service tax, which requires foreign and domestic large businesses to pay on certain revenue earned from engaging with online users in Canada if they meet certain conditions",3
Bloc Québécois,"U.S. relations, tariffs",The party would table a bill requiring the House of Commons to vote on a preliminary text of a free trade agreement before it is adopted.,3
Green,"U.S. relations, tariffs",The Greens would work to ally with other democracies to create joint retaliatory economic measures against the U.S,4
Green,"U.S. relations, tariffs",They would bar U.S,4
Green,"U.S. relations, tariffs",President Donald Trump from the G7 summit in June,4
Green,"U.S. relations, tariffs",They would discuss with other Five Eyes allies the possibility of re-evaluating intelligence sharing with the U.S,4
Green,"U.S. relations, tariffs","They would re-examine the Criminal Code's sections on treason and sedition to protect Canadians against ""attempts to advocate or manufacture consent in favour of annexation under the duress of economic warfare.""",4
People's Party,"U.S. relations, tariffs","It would ""prioritize relations with our main trading and defence partner,"" the U.S",5
People's Party,"U.S. relations, tariffs","At the same time, it would diversify Canada's trade relations with as many other countries as possible to be less dependent on U.S",5
People's Party,"U.S. relations, tariffs",markets.,5
Liberal,"Climate change, energy",Liberals cut carbon price on consumers before campaign,0
Liberal,"Climate change, energy",The Liberals lowered the consumer carbon price before the campaign,0
Liberal,"Climate change, energy",The Liberals lowered consumer prices for carbon dioxide before the election campaign.,0
Liberal,"Climate change, energy",The Liberals cut consumer carbon prices ahead of the campaign,0
Liberal,"Climate change, energy",Liberals cut consumer carbon price before campaign,0
Liberal,"Climate change, energy","They plan to introduce incentives to help families invest in clean energy, including reinstating the zero-emission vehicle grant program.",0
Liberal,"Climate change, energy","They plan to introduce incentives to help families invest in clean energy, including reinstating the zero-emission vehicle subsidy program.",0
Liberal,"Climate change, energy","They plan to introduce incentives to help families invest in clean energy, including reinstating the zero-emission vehicle subsidy program.",0
Liberal,"Climate change, energy","They plan to introduce incentives to help families invest in clean energy, including reinstating the zero-emission vehicle subsidy program.",0
Liberal,"Climate change, energy","They plan to introduce incentives to help families invest in clean energy, including reactivating the zero-emission vehicle subsidy program.",0
Liberal,"Climate change, energy",They would strengthen the output-based pricing system for large industrial emitters to ensure the proper functioning of carbon markets.,0
Liberal,"Climate change, energy",They would strengthen the output-based pricing system for large industrial power suppliers to ensure carbon markets work properly.,0
Liberal,"Climate change, energy",They would tighten the output-based pricing system for large industrial emitters to ensure that carbon markets function properly.,0
Liberal,"Climate change, energy",They will tighten the output-based pricing system for large industrial emitters to ensure the carbon market works properly.,0
Liberal,"Climate change, energy",They will tighten the output-based pricing system for large industrial emitters to ensure carbon markets work properly.,0
Liberal,"Climate change, energy",They are open to building pipelines and accelerating energy projects,0
Liberal,"Climate change, energy",They are open to building pipelines and accelerating energy projects.,0
Liberal,"Climate change, energy",They are open to building pipelines and accelerating energy projects,0
Liberal,"Climate change, energy",They are open to building pipelines and accelerating energy projects,0
Liberal,"Climate change, energy",They are open to building pipelines and accelerating energy projects.,0
Liberal,"Climate change, energy",They would allow Quebec to veto any pipeline on its territory.,0
Liberal,"Climate change, energy",They would allow Quebec to veto any pipeline in its territory,0
Liberal,"Climate change, energy",They would allow Quebec to veto any pipelines in its territory,0
Liberal,"Climate change, energy",They would allow Quebec to veto any pipeline in its territory,0
Liberal,"Climate change, energy",They would allow Quebec to veto any pipeline in its territory.,0
Liberal,"Climate change, energy",They claim they would phase out the use of fossil fuels in government buildings by 2030,0
Liberal,"Climate change, energy",They say they will end the use of oil in government buildings by 2030,0
Liberal,"Climate change, energy",They say they will phase out the use of fossil fuels in public buildings by 2030.,0
Liberal,"Climate change, energy",They say they will eliminate the use of fossil fuels in government buildings by 2030,0
Liberal,"Climate change, energy",They say they will phase out the use of fossil fuels in government buildings by 2030.,0
Liberal,"Climate change, energy",They would develop a carbon border adjustment mechanism to tax imports from countries that do not have comparable carbon pricing.,0
Liberal,"Climate change, energy",They would create a mechanism to adjust the carbon border by taxing imports from countries that do not have a comparable carbon price.,0
Liberal,"Climate change, energy",They would develop a carbon border adjustment mechanism to tax imports from countries that do not have comparable carbon prices.,0
Liberal,"Climate change, energy",They will develop a carbon border adjustment mechanism to import taxes from countries that do not have the same carbon price,0
Liberal,"Climate change, energy",They would create a carbon border adjustment mechanism to tax imports from countries that do not have comparable carbon pricing.,0
Liberal,"Climate change, energy",They would invest $20 million to help the Nunavut Nukkiksautiit Corporation complete the first phase of its hydroelectric plant development.,0
Liberal,"Climate change, energy",They would invest $20 million to help the Nunavut Nukkiksautiit Corporation complete the first phase of development of its hydroelectric facility.,0
Liberal,"Climate change, energy",They would invest $20 million to help Nunavut Nukkiksautiit Corporation complete the first phase of development of its hydroelectric facility.,0
